SNO,Class,TestcaseName,TestStepsExecuted,TestStepsPassed,TestStepsFailed,classpassSteps,classfailSteps,modelpassSteps,modelfailSteps,exteriorpassSteps,exteriorfailSteps,interiorpassSteps,interiorfailSteps,ecpassSteps,ecfailSteps,pspassSteps,psfailSteps,TestOutputFile,ExecStartTime,ExecEndTime,Executedby,ResultCode,ModelYearCode,TypeCode,RegionCode,LanguageCode,EnvironmentCode,TestCaseTypeCode,Status
2035,SUV,"GLA 250 SUV",587,568,19,0,0,568,19,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-01 17:18:00","2020-10-01 17:20:00",shanta.shetty,2,2021,1,2,1,1,2,A
2036,SUV,"GLA 250 SUV",683,556,127,0,0,0,0,123,24,143,35,125,34,165,34,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html,"2020-10-01 17:18:00","2020-10-01 17:20:00",shanta.shetty,2,2021,1,2,1,1,3,A
2037,SUV,"GLE 350 SUV",168,145,23,145,23,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-09 17:06:00","2020-10-09 17:09:00",shanta.shetty,2,2021,1,2,2,1,1,A
2038,SUV,"GLE 350 SUV",524,459,65,0,0,459,65,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-09 17:06:00","2020-10-09 17:09:00",shanta.shetty,2,2021,1,2,1,1,2,A
2039,SUV,"GLE 350 SUV",460,383,77,0,0,0,0,90,12,87,23,98,15,108,27,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html,"2020-10-09 17:06:00","2020-10-09 17:09:00",shanta.shetty,2,2021,1,2,2,1,3,A
2040,SUV,"GLE 450 4Matic SUV",184,154,30,154,30,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-09 17:11:00","2020-10-09 17:13:00",shanta.shetty,2,2021,1,2,1,1,1,A
2041,SUV,"GLE 450 4Matic SUV",596,540,56,0,0,540,56,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-09 17:11:00","2020-10-09 17:13:00",shanta.shetty,2,2021,1,2,1,1,2,A
2042,SUV,"GLE 450 4Matic SUV",479,406,73,0,0,0,0,98,19,99,15,100,19,109,20,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html,"2020-10-09 17:11:00","2020-10-09 17:13:00",shanta.shetty,2,2021,1,2,2,1,3,A
2043,SUV,"GLE 580 4Matic SUV",215,170,45,170,45,0,0,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-09 17:13:00","2020-10-09 17:15:00",shanta.shetty,2,2021,1,2,2,1,1,A
2044,SUV,"GLE 580 4Matic SUV",498,453,45,0,0,453,45,0,0,0,0,0,0,0,0,D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html,"2020-10-09 17:13:00","2020-10-09 17:15:00",shanta.shetty,2,2021,1,2,1,1,2,A
