"SNO";"Class";"TestcaseName";"TestStepsExecuted";"TestStepsPassed";"TestStepsFailed";"classpassSteps";"classfailSteps";"modelpassSteps";"modelfailSteps";"exteriorpassSteps";"exteriorfailSteps";"interiorpassSteps";"interiorfailSteps";"ecpassSteps";"ecfailSteps";"pspassSteps";"psfailSteps";"TestOutputFile";"ExecStartTime";"ExecEndTime";"Executedby";"ResultCode";"ModelYearCode";"TypeCode";"RegionCode";"LanguageCode";"EnvironmentCode";"TestCaseTypeCode";"Status"
33;"SUV";"GLE 580 4Matic SUV";472.0;404.0;68.0;0.0;0.0;0.0;0.0;98.0;12.0;99.0;18.0;101.0;18.0;106.0;20.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-09 17:13:00";"2020-09-09 17:15:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
34;"SUV";"AMG GLE 63 S 4Matic SUV";154.0;120.0;34.0;120.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-09 17:16:00";"2020-09-09 17:18:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
35;"SUV";"AMG GLE 63 S 4Matic SUV";571.0;504.0;67.0;0.0;0.0;504.0;67.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-09 17:16:00";"2020-09-09 17:18:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
36;"SUV";"AMG GLE 63 S 4Matic SUV";496.0;408.0;88.0;0.0;0.0;0.0;0.0;98.0;20.0;97.0;23.0;104.0;15.0;109.0;30.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_63S_4M_SUV.html";"2020-09-09 17:16:00";"2020-09-09 17:18:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
37;"SUV";"GLA 250 SUV";243.0;198.0;45.0;198.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-09 17:18:00";"2020-09-09 17:20:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
38;"SUV";"GLA 250 SUV";574.0;520.0;54.0;0.0;0.0;520.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-09 17:18:00";"2020-09-09 17:20:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
39;"SUV";"GLA 250 SUV";480.0;400.0;80.0;0.0;0.0;0.0;0.0;97.0;12.0;99.0;20.0;96.0;29.0;108.0;19.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_250_SUV.html";"2020-09-09 17:18:00";"2020-09-09 17:20:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
40;"SUV";"AMG GLA 35 SUV";188.0;154.0;34.0;154.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-09 17:21:00";"2020-09-09 17:22:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
41;"SUV";"AMG GLA 35 SUV";549.0;504.0;45.0;0.0;0.0;504.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-09 17:21:00";"2020-09-09 17:22:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
42;"SUV";"AMG GLA 35 SUV";503.0;424.0;79.0;0.0;0.0;0.0;0.0;109.0;19.0;99.0;20.0;106.0;20.0;110.0;20.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLA_Class_GLA_35_SUV.html";"2020-09-09 17:21:00";"2020-09-09 17:22:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
43;"SUV";"GLE 350 SUV";179.0;156.0;23.0;156.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-17 17:06:00";"2020-09-17 17:09:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
44;"SUV";"GLE 350 SUV";482.0;450.0;32.0;0.0;0.0;450.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-17 17:06:00";"2020-09-17 17:09:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
45;"SUV";"GLE 350 SUV";491.0;410.0;81.0;0.0;0.0;0.0;0.0;98.0;12.0;97.0;23.0;107.0;23.0;108.0;23.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_SUV.html";"2020-09-17 17:06:00";"2020-09-17 17:09:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
46;"SUV";"GLE 350 4Matic SUV";199.0;176.0;23.0;176.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-17 17:09:00";"2020-09-17 17:11:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
47;"SUV";"GLE 350 4Matic SUV";535.0;490.0;45.0;0.0;0.0;490.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-17 17:09:00";"2020-09-17 17:11:00";"shanta.shetty";2;2021;1;1;1;1;2;"A"
48;"SUV";"GLE 350 4Matic SUV";485.0;426.0;59.0;0.0;0.0;0.0;0.0;99.0;12.0;109.0;23.0;110.0;12.0;108.0;12.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_350_4M_SUV.html";"2020-09-17 17:09:00";"2020-09-17 17:11:00";"shanta.shetty";2;2021;1;1;1;1;3;"A"
49;"SUV";"GLE 450 4Matic SUV";170.0;146.0;24.0;146.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-17 17:11:00";"2020-09-17 17:13:00";"shanta.shetty";2;2020;1;1;1;1;1;"A"
50;"SUV";"GLE 450 4Matic SUV";537.0;499.0;38.0;0.0;0.0;499.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-17 17:11:00";"2020-09-17 17:13:00";"shanta.shetty";2;2020;1;1;1;1;2;"A"
51;"SUV";"GLE 450 4Matic SUV";467.0;405.0;62.0;0.0;0.0;0.0;0.0;99.0;12.0;109.0;15.0;100.0;23.0;97.0;12.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_450_4M_SUV.html";"2020-09-17 17:11:00";"2020-09-17 17:13:00";"shanta.shetty";2;2020;1;1;1;1;3;"A"
52;"SUV";"GLE 580 4Matic SUV";190.0;167.0;23.0;167.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"D:Latest_CodeFusion_ALM_MY21/test-output/RunResults/US_GLE_Class_GLE_580_4M_SUV.html";"2020-09-17 17:13:00";"2020-09-17 17:15:00";"shanta.shetty";2;2021;1;1;1;1;1;"A"
